Summary for Savings Accounts - EUR						
Description	Amount					
Saldo początkowe	0€					
Suma wpłat	697,92€					
Suma wypłat	613,84€					
Łączna kwota zarobionych odsetek	1,66€					
Podatek ogółem	0€					
Opłaty ogółem	0€					
Saldo końcowe	85,74€					
						
Summary for Savings Accounts - PLN						
Description	Amount					
Saldo początkowe	0 PLN					
Suma wpłat	1 300,00 PLN					
Suma wypłat	1 310,09 PLN					
Łączna kwota zarobionych odsetek	10,09 PLN					
Podatek ogółem	0 PLN					
Opłaty ogółem	0 PLN					
Saldo końcowe	0 PLN					
						
Summary for Crypto						
Sells summary	Amount					
Wpływy brutto	7,95$					
Podstawa kosztowa	0$					
Zrealizowany zysk/strata brutto	7,95$					
						
Transactions for Savings Accounts - EUR						
Date	Description	Money out	Money in	Balance		
28 Mar 2025	Interest earned		0,04 PLN	500,29 PLN		
29 Mar 2025	Interest earned		0,04 PLN	500,33 PLN		
30 Mar 2025	Interest earned		0,04 PLN	500,37 PLN		
31 Mar 2025	Interest earned		0,04 PLN	500,41 PLN		
1 kwi 2025	Interest earned		0,04 PLN	500,45 PLN		
2 kwi 2025	Interest earned		0,04 PLN	500,49 PLN		
3 kwi 2025	Interest earned		0,04 PLN	500,53 PLN		
4 kwi 2025	Interest earned		0,05 PLN	500,58 PLN		
5 kwi 2025	Interest earned		0,04 PLN	500,62 PLN		
6 kwi 2025	Interest earned		0,04 PLN	500,66 PLN		
7 kwi 2025	Interest earned		0,04 PLN	500,70 PLN		
8 kwi 2025	Interest earned		0,04 PLN	500,74 PLN		
9 kwi 2025	Interest earned		0,04 PLN	500,78 PLN		
10 kwi 2025	Interest earned		0,04 PLN	500,82 PLN		
11 kwi 2025	Interest earned		0,04 PLN	500,86 PLN		
12 kwi 2025	Interest earned		0,04 PLN	500,90 PLN		
13 kwi 2025	Interest earned		0,05 PLN	500,95 PLN		
14 kwi 2025	Interest earned		0,04 PLN	500,99 PLN		
15 kwi 2025	Interest earned		0,04 PLN	501,03 PLN		
16 kwi 2025	Interest earned		0,04 PLN	501,07 PLN		
17 kwi 2025	Interest earned		0,04 PLN	501,11 PLN		
18 kwi 2025	Interest earned		0,04 PLN	501,15 PLN		
19 kwi 2025	Interest earned		0,04 PLN	501,19 PLN		
20 kwi 2025	Interest earned		0,04 PLN	501,23 PLN		
21 kwi 2025	Interest earned		0,05 PLN	501,28 PLN		
22 kwi 2025	Interest earned		0,04 PLN	501,32 PLN		
23 kwi 2025	Interest earned		0,04 PLN	501,36 PLN		
24 kwi 2025	Interest earned		0,04 PLN	501,40 PLN		
25 kwi 2025	Interest earned		0,04 PLN	501,44 PLN		
26 kwi 2025	Interest earned		0,04 PLN	501,48 PLN		
27 kwi 2025	Interest earned		0,04 PLN	501,52 PLN		
28 kwi 2025	Interest earned		0,04 PLN	501,56 PLN		
29 kwi 2025	Interest earned		0,05 PLN	501,61 PLN		
30 kwi 2025	Interest earned		0,04 PLN	501,65 PLN		
1 maj 2025	Interest earned		0,04 PLN	501,69 PLN		
2 maj 2025	Interest earned		0,04 PLN	501,73 PLN		
3 maj 2025	Interest earned		0,04 PLN	501,77 PLN		
4 maj 2025	Interest earned		0,04 PLN	501,81 PLN		
5 maj 2025	Interest earned		0,04 PLN	501,85 PLN		
6 maj 2025	Interest earned		0,04 PLN	501,89 PLN		
7 maj 2025	Interest earned		0,05 PLN	501,94 PLN		
8 maj 2025	Interest earned		0,04 PLN	501,98 PLN		
9 maj 2025	Interest earned		0,04 PLN	502,02 PLN		
10 maj 2025	Interest earned		0,04 PLN	502,06 PLN		
11 maj 2025	Interest earned		0,04 PLN	502,10 PLN		
12 maj 2025	Interest earned		0,04 PLN	502,14 PLN		
13 maj 2025	Interest earned		0,04 PLN	502,18 PLN		
14 maj 2025	Interest earned		0,04 PLN	502,22 PLN		
15 maj 2025	Interest earned		0,05 PLN	502,27 PLN		
16 maj 2025	Interest earned		0,04 PLN	502,31 PLN		
17 maj 2025	Interest earned		0,04 PLN	502,35 PLN		
18 maj 2025	Interest earned		0,04 PLN	502,39 PLN		
19 maj 2025	Interest earned		0,04 PLN	502,43 PLN		
20 maj 2025	Interest earned		0,04 PLN	502,47 PLN		
21 maj 2025	Interest earned		0,04 PLN	502,51 PLN		
22 maj 2025	Interest earned		0,04 PLN	502,55 PLN		
23 maj 2025	Interest earned		0,05 PLN	502,60 PLN		
24 maj 2025	Interest earned		0,04 PLN	502,64 PLN		
25 maj 2025	Interest earned		0,04 PLN	502,68 PLN		
26 maj 2025	Interest earned		0,04 PLN	502,72 PLN		
27 maj 2025	Interest earned		0,04 PLN	502,76 PLN		
28 maj 2025	Interest earned		0,04 PLN	502,80 PLN		
29 maj 2025	Interest earned		0,04 PLN	502,84 PLN		
30 maj 2025	Interest earned		0,04 PLN	502,88 PLN		
31 maj 2025	Interest earned		0,05 PLN	502,93 PLN		
1 cze 2025	Interest earned		0,04 PLN	502,97 PLN		
2 cze 2025	Interest earned		0,04 PLN	503,01 PLN		
3 cze 2025	Interest earned		0,04 PLN	503,05 PLN		
4 cze 2025	Interest earned		0,04 PLN	503,09 PLN		
5 cze 2025	Interest earned		0,04 PLN	503,13 PLN		
6 cze 2025	Interest earned		0,04 PLN	503,17 PLN		
7 cze 2025	Interest earned		0,05 PLN	503,22 PLN		
8 cze 2025	Interest earned		0,04 PLN	503,26 PLN		
9 cze 2025	Interest earned		0,04 PLN	503,30 PLN		
10 cze 2025	Interest earned		0,04 PLN	503,34 PLN		
11 cze 2025	Interest earned		0,04 PLN	503,38 PLN		
12 cze 2025	Interest earned		0,04 PLN	503,42 PLN		
13 cze 2025	Interest earned		0,04 PLN	503,46 PLN		
14 cze 2025	Interest earned		0,05 PLN	503,51 PLN		
15 cze 2025	Interest earned		0,04 PLN	503,55 PLN		
16 cze 2025	Interest earned		0,04 PLN	503,59 PLN		
17 cze 2025	Interest earned		0,04 PLN	503,63 PLN		
18 cze 2025	Interest earned		0,04 PLN	503,67 PLN		
19 cze 2025	Interest earned		0,04 PLN	503,71 PLN		
20 cze 2025	Interest earned		0,04 PLN	503,75 PLN		
21 cze 2025	Interest earned		0,04 PLN	503,79 PLN		
22 cze 2025	Interest earned		0,05 PLN	503,84 PLN		
23 cze 2025	Interest earned		0,04 PLN	503,88 PLN		
24 cze 2025	Interest earned		0,04 PLN	503,92 PLN		
25 cze 2025	Interest earned		0,04 PLN	503,96 PLN		
26 cze 2025	Interest earned		0,04 PLN	504 PLN		
27 cze 2025	Interest earned		0,04 PLN	504,04 PLN		
28 cze 2025	Interest earned		0,04 PLN	504,08 PLN		
29 cze 2025	Interest earned		0,05 PLN	504,13 PLN		
30 cze 2025	Interest earned		0,04 PLN	504,17 PLN		
1 lip 2025	Interest earned		0,04 PLN	504,21 PLN		
2 lip 2025	Interest earned		0,04 PLN	504,25 PLN		
3 lip 2025	Interest earned		0,04 PLN	504,29 PLN		
4 lip 2025	Interest earned		0,04 PLN	504,33 PLN		
5 lip 2025	Interest earned		0,05 PLN	504,38 PLN		
6 lip 2025	Interest earned		0,04 PLN	504,42 PLN		
7 lip 2025	Interest earned		0,04 PLN	504,46 PLN		
8 lip 2025	Interest earned		0,04 PLN	504,50 PLN		
9 lip 2025	Interest earned		0,04 PLN	504,54 PLN		
10 lip 2025	Interest earned		0,04 PLN	504,58 PLN		
11 lip 2025	Interest earned		0,04 PLN	504,62 PLN		
12 lip 2025	Interest earned		0,05 PLN	504,67 PLN		
13 lip 2025	Interest earned		0,04 PLN	504,71 PLN		
14 lip 2025	Interest earned		0,04 PLN	504,75 PLN		
15 lip 2025	Interest earned		0,04 PLN	504,79 PLN		
16 lip 2025	Interest earned		0,04 PLN	504,83 PLN		
17 lip 2025	Interest earned		0,04 PLN	504,87 PLN		
18 lip 2025	Interest earned		0,04 PLN	504,91 PLN		
19 lip 2025	Interest earned		0,05 PLN	504,96 PLN		
20 lip 2025	Interest earned		0,04 PLN	505 PLN		
21 lip 2025	Interest earned		0,04 PLN	505,04 PLN		
22 lip 2025	Interest earned		0,04 PLN	505,08 PLN		
23 lip 2025	Interest earned		0,04 PLN	505,12 PLN		
24 lip 2025	Interest earned		0,04 PLN	505,16 PLN		
25 lip 2025	Interest earned		0,04 PLN	505,20 PLN		
26 lip 2025	Interest earned		0,05 PLN	505,25 PLN		
27 lip 2025	Interest earned		0,04 PLN	505,29 PLN		
27 lip 2025	Depositing savings		800 PLN	1 305,29 PLN		
28 lip 2025	Interest earned		0,04 PLN	1 305,33 PLN		
29 lip 2025	Interest earned		0,11 PLN	1 305,44 PLN		
30 lip 2025	Interest earned		0,10 PLN	1 305,54 PLN		
31 lip 2025	Interest earned		0,11 PLN	1 305,65 PLN		
1 sie 2025	Interest earned		0,11 PLN	1 305,76 PLN		
2 sie 2025	Interest earned		0,11 PLN	1 305,87 PLN		
3 sie 2025	Interest earned		0,10 PLN	1 305,97 PLN		
4 sie 2025	Interest earned		0,11 PLN	1 306,08 PLN		
5 sie 2025	Interest earned		0,11 PLN	1 306,19 PLN		
6 sie 2025	Interest earned		0,11 PLN	1 306,30 PLN		
7 sie 2025	Interest earned		0,10 PLN	1 306,40 PLN		
8 sie 2025	Interest earned		0,11 PLN	1 306,51 PLN		
9 sie 2025	Interest earned		0,11 PLN	1 306,62 PLN		
10 sie 2025	Interest earned		0,10 PLN	1 306,72 PLN		
11 sie 2025	Interest earned		0,11 PLN	1 306,83 PLN		
12 sie 2025	Interest earned		0,11 PLN	1 306,94 PLN		
